Certificate,Coverdell ESA,Yes,Check,Active,Annual,AvgDaily,No Recalc,Annual_1,Check_1,Annual_2,631
IRA CD,HSA,No,Convert,Closed,Daily,DayIn/DayOut,Recalc,Lump Sum,Retain,Monthly,632
IRA Share Draft,Regular,,Renew,,Monthly,Simple,Recalc Freq,Monthly,Transfer,Quarterly,633
IRA Share,ROTH,,Transfer,,Quarterly,Compound,,Quarterly,,Semi-Annually,634
Reg Share,SEP,,,,Semi-Annually,No Dividend,,Semi-Annually,,,635
Share Draft,Simple,,,,,,,,,,636
,,,,,,,,,,,637
,,,,,,,,,,,902
,,,,,,,,,,,657
,,,,,,,,,,,911
,,,,,,,,,,,908C
,,,,,,,,,,,906C
,,,,,,,,,,,630
,,,,,,,,,,,880
,,,,,,,,,,,065A1
,,,,,,,,,,,065A3
,,,,,,,,,,,065C1
,,,,,,,,,,,065CD1
,,,,,,,,,,,065E1
,,,,,,,,,,,067A1
,,,,,,,,,,,067B1
,,,,,,,,,,,067C1
