Codigo,Descripción,FechaCreada,Official
0,CORRESPONDENCIA DEVUELTA (VARIAS),,
1,Descuento Nominal,4/29/2002,
2,Deposito Directo,,
3,Cuenta de Menor,,
4,Empleado Coop,,
5,Miembro de Junta,,
6,Miembro Comite Supervision,,
7,Quiebra Capitulo 7,,
8,Miembro Comite de Educacion,,
9,Socio Fallecido,2/15/2003,
10,Cheque Devuelto,,
11,Cuenta en Quiebra Cap 11,,
12,Agencia Cobro,,
13,Quiebra Capitulo 13,,
16,Cuenta con Tutor,,
17,Referir a cobro,,
18,MasterCard en Atrazo,,
19,Tarjeta garantizada Master Card,,
20,Menor de 21 año y Mayor de 18 años,11/22/2011,
21,Envio de Estados via Email,9/17/2013,Jonathan Perez
22,Posible Fraude,,
23,Investigacion Federal,,
24,Embargo IRS,,
25,Libreta robada,,
26,Favor verificar firma autorizada,,
27,Requiere dos firmas o mas para retiros,,
30,Menor Emancipado,,
31,No Reactivar Cuenta Socio Expulsado,,
32,Prestamo garantizado con CD de otra cuenta,,
33,Tarjeta perdida,,
34,Retener para Identificacion,,
35,Cuenta Inactiva,,
36,Reclamación,,
40,Convenio de Pago,,
41,Cuenta referida a Legal,,
42,Miembro Comite de Credito,,
43,Cuenta en Plan de Pago,,
44,Cuenta en Descargo de Quiebra,,
45,"Cuenta en ""Dismissed""",,
51,Favor Requerir ID para transacciones,,
52,Socio No Desea Divulgacion de Informacion,,
53,Socio Adeuda Cargo Cheque Devuelto,,
54,Cuenta tirada a Perdida,,
55,Referir Socio a Oficina del Gerente,,
56,Alerta !!  Prestamo en Garantia de Otro Socio,,
57,Préstamo con Co-Deudor,,
58,Moratoria Pagando Intereses,,
59,Quiebra Desestimada,,
60,Socio Canceló Personas Autorizadas,,
62,Socio Posee Master Card,,
63,"Préstamo G.A. Acciones, Ahorros o CD",,
64,Solicitar autorización Pres. Ejecutivo o Vice Pres. Ejecutiva,,
65,Acciones de este socio garantizan a otro socio ver exp.,,
66,Pedir telefonos y dirección actuales,,
67,No renovaciones pagando con atrasos,,
68,Master Card Cancelada,,
69,Suspencion de Licencia por Tribunal Examinador,,
70,RE-INGRESO,3/24/2009,JONATHAN PEREZ
75,Socio desistio de Ingresar,9/1/2009,Jonathan Perez
80,Falta Informacion en Solicitud de Ingreso Reverir a Oficial,4/7/2009,Jonathan Perez
81,Falta Información Financiera Reverir a Oficial,4/7/2009,Jonathan Perez
95,Cuenta Corriente,4/8/2009,Jonathan Perez
96,Cuenta Corriente Comercial,5/4/2009,Jonathan Perez
99,"No entregar titulo, prestamo en atrasos",,
100,Dado de Baja,1/19/2008,Jonathan Perez
101,ACH DEVUELTO POR BANCO,12/22/2010,
102,ACH ACTIVA (PERIODICA),12/22/2010,
103,MasterCard Tirada a Perdida,,
104,ACH PERIODICA CANCELADA,3/21/2011,JONATHAN PEREZ
105,Cta. Corriente Cerrada,6/28/2011,Jonathan Perez
106,Auto Pago (Ahorro),,
110,"NO PRESTAMOS COLATERALES ADICIONALES. MOROSO, DORLEEN",,
150,"Verificar cuenta del conyuge, es socio tambien.",,
151,Ingreso Pendiente -Falta copia licencia profesional,,
152,Medico Residente - Pend. Prestamos,,
200,"Problemas legales, preguntar a Dorleen",,
201,"No dar informacion por telefono, en proceso de divorcio.",,
202,Consultar con Dorleen,,
205,Caso Referido a Isla Repo,,Orlando Ramos
210,Plan de Pago Alma Financial,,
300,"Faltan documentos identidad, referir servicios al socio.",,
500,Incentivo Lesley,,
900,SOLICITAR O VERIFICAR SEGURO SOCIAL - JOSE CRUZ,,
999,Cuenta Notificada Robo Identidad pasar a Oficial,4/11/2009,Jonathan Perez
1000,"Retiro parcial de acciones reciente, no préstamos",,
1001,MEDICO LICENCIA CANNABIS,,
1002,Persona Expuesta Politica PEP,,
3312,Pagando atrasado. Situación legal. Referido a Dorleen,,
