Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Certificate,Coverdell ESA,Yes,Check,Active,Annual,AvgDaily,No Recalc,Annual,Check,Annual,631
IRA CD,HSA,No,Convert,Closed,Daily,DayIn/DayOut,Recalc,Lump Sum,Retain,Monthly,632
IRA Share Draft,Traditional,,Renew,,Monthly,Simple,Recalc Freq,Monthly,Transfer,Quarterly,633
IRA Share,ROTH,,Transfer,,Quarterly,Compound,,Quarterly,,Semi-Annually,634
Reg Share,SEP,,,,Semi-Annually,No Dividend,,Semi-Annually,,,635
Share Draft,Simple,,,,,,,,,,636
,,,,,,,,,,,637
,,,,,,,,,,,902
,,,,,,,,,,,657
,,,,,,,,,,,911
,,,,,,,,,,,908C
,,,,,,,,,,,906C
,,,,,,,,,,,630
,,,,,,,,,,,880
,,,,,,,,,,,065A1
,,,,,,,,,,,065A3
,,,,,,,,,,,065C1
,,,,,,,,,,,065CD1
,,,,,,,,,,,065E1
,,,,,,,,,,,067A1
,,,,,,,,,,,067B1
,,,,,,,,,,,067C1
