Previous Purpose Code,Purpose Code Description,Sharetec Purpose Code
,Consolidación de deudas ,30
,Pago de tarjetas de crédito ,31
,Refinanciamiento de préstamos personales ,32
,"Mejora, ampliación o remodelación de vivienda",33
,Reparaciones del hogar,34
,Pago de estudios universitarios ,35
,Gastos escolares ,36
,Gastos médicos y hospitalarios ,37
,Emergencias personales ,38
,Viajes y vacaciones ,39
,Compra de mobiliario y electrodomésticos ,40
,Compra de equipo de cómputo o tecnología ,41
,Compra de vehículo ,42
,Reparación o mantenimiento de vehículo ,43
,Inicio de pequeño negocio o autoempleo ,44
,Capital de trabajo personal ,45
,Apoyo económico familiar ,46
,Gastos funerarios ,47
,"Pago de contribuciones (impuestos, tasas u obligaciones fiscales)",48
,Libre disposición / uso general ,49
,Pago de pólizas de seguros ,50
,All to Existing to Before Conversion and create new,BC
