Loan Type in Data,__UNNAMED__1,__UNNAMED__2
0,"4 Accts - No member just apps # 21673,30181,30184,30187",There is no data in them - Do not import?
40,69 Accounts - Pestamo Personal - Arendamien,All 0 balances showing except the 2 listed and they are negative
,"Socio Number (Mem#) 8290, 9207",
3501,51 Accounts - Prestamo Hipotecario - Residen (Reside),All 0 balances except 6 listed and show negative
,"Socio Number (Mem#)311, 985, 1369, 1398,1504, 2433",
4100,48 Accounts-Prestamo Personal - POLIZA AUT (Auto Policy),All 0 Balances except the 2 listed and show negative
,"Socio Number (Mem#) 8290, 9207",
6200,113 Accounts - Prestamo Personal - Re-Estruct,All 0 Balances - 
9999,320 Accounts - Prestamo Incobrable (Bad Loans),All Accounts show  except 80 showing Negative
,"Examples: Socio Number (Mem#) 2739, 9449,7206",
,,What are the negative loans and what are we doing with them.
