Old Loan Type ,51,53,54,55
OLD Description,Linea De Credito ,Linea de Credito Malpractice ,Linea de Credito Sist. Energia Renovable ,Linea de Credito - Comercial Participacion 
File,Loan_Account,Loan_Account,Loan_Account,Loan_Account
Programming Logic,,,,
Balancing,,,,
Additional Comments,,,,
NEW Loan Type,51,53,54,55
NEW Loan Description,Linea De Credito,Linea de Credito - Malpractice,Linea de Credito -  Energia Renovable,Linea de Credito - Comercial Participacion
 Group Type,CONV,CONV,CONV,CONV
Collateral Code ,,,,
Status Code,Active,Active,Active,Active
Rate Index,,,,
Base Rate,0,0,0,0
Minimum APR Percentage,0,0,0,0
Maximum APR Percentage,0.175,0.0975,0.1075,0.1075
Interest Calculation Type,,,,
ALD Type,Unsecured,Unsecured,Secured,Secured
RBL Type,Line of Credit,Malpractice Line of Credit,Purchase Renewable Energy,Loans Not Listed
Fiscal Yr Days,360,360,360,360
Bump Max Months,0,0,0,0
Term,0,0,0,1
GL#,129010,129020,129030,129300
Interest GL#,400050,400150,400160,400310
Escrow Acct Type,,,,
Payment Posting Priority,IPFE,IPFE,IPFE,IPFE
Overpayment to Fees,Yes,Yes,Yes,Yes
Line of Credit Payment Recalculation Method,3,1,6,6
X,,,,
Y,,,,
% of Bal,0.0208,,,
Bill Day,,,31,31
Min Payment,10,250,50,0
Initialize Partial Pmt,No,No,No,No
Open End,Yes,Yes,Yes,Yes
Secured Loan,No,No,Yes,Yes
Member Inquiry,Yes,Yes,Yes,Yes
Fixed Rate,Fixed,Fixed,Fixed,Fixed
Bump Due Date Once,No,No,No,No
Print 1098,No,No,No,Yes
CPI Reporting,No,No,No,No
Amortization Schedule,No,No,No,No
MLA Eligible,No,No,No,No
HMDA Flag,No,No,No,No
Late Fee Code,AS,AS,AS,AS
Late Fee Days,15,15,15,15
Late Fee %,0.05,0.05,0.05,0.05
Late Fee Amount,0,0,0,0
Min Fee Amt,5,5,5,5
Max Fee Amt,0,0,0,0
Fee GL,420060,420060,420060,420060
Exclude Fees from Partial,Include,Include,Include,Include
Charge Off %,0,0,0,0
Delinquent Method,D,D,D,D
Collection Days,10,10,10,10
Past Due Days,30,30,30,30
Alert Days,16,16,16,16
Reminder Days,15,15,15,15
Restriction Days,30,30,30,30
Credit Bureau Type,15,15,15,7A
Call Report Cd,,,,
APR URL,,,,
Info URL,https://vci.coop-online.com/medicoop/home/Spanish/banking/main/Cuentas.cfm,https://vci.coop-online.com/medicoop/home/Spanish/banking/main/Cuentas.cfm,https://vci.coop-online.com/medicoop/home/Spanish/banking/main/Cuentas.cfm,https://vci.coop-online.com/medicoop/home/Spanish/banking/main/Cuentas.cfm
