00,Yes,002,CONV,360,PIFE,0,AF,B
01,No,136,MORT,365,PIEF,1,AS,D
02,,370,SALE,,PFIE,2,BF,
03,,385,,,PFEI,3,FA,
04,,386,,,PEIF,4,FO,
05,,396,,,PEFI,5,PA,
06,,397,,,IPFE,6,PI,
07,,548,,,IPEF,,PS,
08,,549,,,IFPE,,,
10,,680,,,IFEP,,,
11,,703,,,IEPF,,,
12,,712,,,IEFP,,,
13,,731,,,FPIE,,,
15,,736,,,FPEI,,,
17,,779,,,FIPE,,,
18,,1005,,,FIEP,,,
19,,041C,,,FEPI,,,
20,,041C1,,,FEIP,,,
25,,041C2,,,EPIF,,,
26,,041D,,,EPFI,,,
29,,041E,,,EIPF,,,
37,,041E,,,EIFP,,,
43,,041F,,,EFPI,,,
47,,041G,,,EFIP,,,
48,,041G3,,,,,,
50,,041G4,,,,,,
77,,041H1,,,,,,
89,,041M,,,,,,
90,,041N1,,,,,,
91,,041P,,,,,,
92,,041P3,,,,,,
93,,041P4,,,,,,
95,,041Q1,,,,,,
0A,,041T,,,,,,
2A,,042A5,,,,,,
3A,,042A6,,,,,,
5A,,042A7,,,,,,
6A,,042A8,,,,,,
7A,,045B,,,,,,
8A,,071J,,,,,,
9A,,130B,,,,,,
5B,,143B3,,,,,,
6B,,143B4,,,,,,
7B,,386B,,,,,,
8B,,389A,,,,,,
9B,,397A,,,,,,
0C,,400C5,,,,,,
2C,,400C6,,,,,,
4D  ,,400C7,,,,,,
6D,,400C8,,,,,,
0F,,400H2,,,,,,
0G,,400H3,,,,,,
,,400J2,,,,,,
,,400J3,,,,,,
,,400L2,,,,,,
,,400L3,,,,,,
,,400M,,,,,,
,,400M1,,,,,,
,,400P,,,,,,
,,550C,,,,,,
,,550C1,,,,,,
,,550C2,,,,,,
,,550D,,,,,,
,,550E,,,,,,
,,550F,,,,,,
,,550G,,,,,,
,,550G3,,,,,,
,,550G4,,,,,,
,,550H1,,,,,,
,,550I,,,,,,
,,550M,,,,,,
,,550N1,,,,,,
,,550P,,,,,,
,,550P3,,,,,,
,,550P4,,,,,,
,,550Q1,,,,,,
,,550T,,,,,,
,,618B,,,,,,
,,618C,,,,,,
,,691C1,,,,,,
,,691P1,,,,,,
,,698A,,,,,,
,,698B,,,,,,
,,698C,,,,,,
,,703A,,,,,,
,,704A2,,,,,,
,,704C1,,,,,,
,,704D2,,,,,,
,,704F2,,,,,,
,,704G2,,,,,,
,,713A,,,,,,
,,714A,,,,,,
,,715A,,,,,,
,,716A,,,,,,
,,718A5,,,,,,
,,779A,,,,,,
,,LN0051,,,,,,
,,LN0054,,,,,,
,,LN0057,,,,,,
