Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00000002.0000,50003.01,1/31/2026,FIN DE MES,15.69,Pago De Interes 1/31/2026,Pago De Interes,2,0,50003,20001
20001.01.00000048.0000,50003.01,1/31/2026,FIN DE MES,3.32,Pago De Interes 1/31/2026,Pago De Interes,48,0,50003,20001
20001.01.00000141.0000,50003.01,1/31/2026,FIN DE MES,0.81,Pago De Interes 1/31/2026,Pago De Interes,141,0,50003,20001
20001.01.00000190.0000,50003.01,1/31/2026,FIN DE MES,0.04,Pago De Interes 1/31/2026,Pago De Interes,190,0,50003,20001
20001.01.00000226.0000,50003.01,1/31/2026,FIN DE MES,3.36,Pago De Interes 1/31/2026,Pago De Interes,226,0,50003,20001
20001.01.00000252.0000,50003.01,1/31/2026,FIN DE MES,13.77,Pago De Interes 1/31/2026,Pago De Interes,252,0,50003,20001
20001.01.00000315.0000,50003.01,1/31/2026,FIN DE MES,41.02,Pago De Interes 1/31/2026,Pago De Interes,315,0,50003,20001
20001.01.00000316.0000,50003.01,1/31/2026,FIN DE MES,2.08,Pago De Interes 1/31/2026,Pago De Interes,316,0,50003,20001
20001.01.00000341.0000,50003.01,1/31/2026,FIN DE MES,1.9,Pago De Interes 1/31/2026,Pago De Interes,341,0,50003,20001
20001.01.00000394.0000,50003.01,1/31/2026,FIN DE MES,0.01,Pago De Interes 1/31/2026,Pago De Interes,394,0,50003,20001
20001.01.00000395.0000,50003.01,1/31/2026,FIN DE MES,1.3,Pago De Interes 1/31/2026,Pago De Interes,395,0,50003,20001
20001.01.00000508.0000,50003.01,1/31/2026,FIN DE MES,1.28,Pago De Interes 1/31/2026,Pago De Interes,508,0,50003,20001
20001.01.00000511.0000,50003.01,1/31/2026,FIN DE MES,4.62,Pago De Interes 1/31/2026,Pago De Interes,511,0,50003,20001
20001.01.00000512.0000,50003.01,1/31/2026,FIN DE MES,9.94,Pago De Interes 1/31/2026,Pago De Interes,512,0,50003,20001
20001.01.00000553.0000,50003.01,1/31/2026,FIN DE MES,20.47,Pago De Interes 1/31/2026,Pago De Interes,553,0,50003,20001
20001.01.00000570.0000,50003.01,1/31/2026,FIN DE MES,6.92,Pago De Interes 1/31/2026,Pago De Interes,570,0,50003,20001
20001.01.00000674.0000,50003.01,1/31/2026,FIN DE MES,71.87,Pago De Interes 1/31/2026,Pago De Interes,674,0,50003,20001
20001.01.00000686.0000,50003.01,1/31/2026,FIN DE MES,30.76,Pago De Interes 1/31/2026,Pago De Interes,686,0,50003,20001
20001.01.00000745.0000,50003.01,1/31/2026,FIN DE MES,1.48,Pago De Interes 1/31/2026,Pago De Interes,745,0,50003,20001
20001.01.00000786.0000,50003.01,1/31/2026,FIN DE MES,27.84,Pago De Interes 1/31/2026,Pago De Interes,786,0,50003,20001
20001.01.00000792.0000,50003.01,1/31/2026,FIN DE MES,22.46,Pago De Interes 1/31/2026,Pago De Interes,792,0,50003,20001
20001.01.00000794.0000,50003.01,1/31/2026,FIN DE MES,15.77,Pago De Interes 1/31/2026,Pago De Interes,794,0,50003,20001
20001.01.00000883.0000,50003.01,1/31/2026,FIN DE MES,0.53,Pago De Interes 1/31/2026,Pago De Interes,883,0,50003,20001
20001.01.00000901.0000,50003.01,1/31/2026,FIN DE MES,0.03,Pago De Interes 1/31/2026,Pago De Interes,901,0,50003,20001
20001.01.00000918.0000,50003.01,1/31/2026,FIN DE MES,3.6,Pago De Interes 1/31/2026,Pago De Interes,918,0,50003,20001
20001.01.00000920.0000,50003.01,1/31/2026,FIN DE MES,0.07,Pago De Interes 1/31/2026,Pago De Interes,920,0,50003,20001
20001.01.00000926.0000,50003.01,1/31/2026,FIN DE MES,1.55,Pago De Interes 1/31/2026,Pago De Interes,926,0,50003,20001
20001.01.00000933.0000,50003.01,1/31/2026,FIN DE MES,1.8,Pago De Interes 1/31/2026,Pago De Interes,933,0,50003,20001
20001.01.00000955.0000,50003.01,1/31/2026,FIN DE MES,33.95,Pago De Interes 1/31/2026,Pago De Interes,955,0,50003,20001
20001.01.00000971.0000,50003.01,1/31/2026,FIN DE MES,33.42,Pago De Interes 1/31/2026,Pago De Interes,971,0,50003,20001
20001.01.00000973.0000,50003.01,1/31/2026,FIN DE MES,4.81,Pago De Interes 1/31/2026,Pago De Interes,973,0,50003,20001
20001.01.00000983.0000,50003.01,1/31/2026,FIN DE MES,0.15,Pago De Interes 1/31/2026,Pago De Interes,983,0,50003,20001
20001.01.00001000.0000,50003.01,1/31/2026,FIN DE MES,0.18,Pago De Interes 1/31/2026,Pago De Interes,1000,0,50003,20001
20001.01.00001023.0000,50003.01,1/31/2026,FIN DE MES,97.14,Pago De Interes 1/31/2026,Pago De Interes,1023,0,50003,20001
20001.01.00001035.0000,50003.01,1/31/2026,FIN DE MES,13.44,Pago De Interes 1/31/2026,Pago De Interes,1035,0,50003,20001
20001.01.00001050.0000,50003.01,1/31/2026,FIN DE MES,5.14,Pago De Interes 1/31/2026,Pago De Interes,1050,0,50003,20001
20001.01.00001062.0000,50003.01,1/31/2026,FIN DE MES,6.55,Pago De Interes 1/31/2026,Pago De Interes,1062,0,50003,20001
20001.01.00001102.0000,50003.01,1/31/2026,FIN DE MES,17.35,Pago De Interes 1/31/2026,Pago De Interes,1102,0,50003,20001
20001.01.00001106.0000,50003.01,1/31/2026,FIN DE MES,0.07,Pago De Interes 1/31/2026,Pago De Interes,1106,0,50003,20001
20001.01.00001120.0000,50003.01,1/31/2026,FIN DE MES,9.38,Pago De Interes 1/31/2026,Pago De Interes,1120,0,50003,20001
20001.01.00001134.0000,50003.01,1/31/2026,FIN DE MES,0.17,Pago De Interes 1/31/2026,Pago De Interes,1134,0,50003,20001
20001.01.00001138.0000,50003.01,1/31/2026,FIN DE MES,3.4,Pago De Interes 1/31/2026,Pago De Interes,1138,0,50003,20001
20001.01.00001147.0000,50003.01,1/31/2026,FIN DE MES,1.67,Pago De Interes 1/31/2026,Pago De Interes,1147,0,50003,20001
20001.01.00001174.0000,50003.01,1/31/2026,FIN DE MES,0.28,Pago De Interes 1/31/2026,Pago De Interes,1174,0,50003,20001
