Tipo,SubTipo,Descripcion,Tasa,TasaMax,TasaMin,ShareMinimum,MinimumAmount,MaximumAmount,Term,MinimumTerm,MaximumTerm,ucbAccountType,PenaltyPercent,LatePaymentSurchargePercentage,COSSEC_CO_TIPO_PRESTAMO,COSSEC_CO_CATEGORIA
LoanType,LoanSubType,Descripcion,Rate,MaxRate,MinRate,SharesMinimum,MinimumAmount,MaximumAmount,Term,MinimumTerm,MaximumTerm,ucbAccountType,PenaltyPercent,LatePaymentSurchargePercentage,COSSEC_CO_TIPO_PRESTAMO,COSSEC_CO_CATEGORIA
40,0,Prestamo Personal - Arendamiento Autos,4,15,4, , , , , , ,3A, , ,0,0
51,1,Linea de Credito,12.5,15,12.5, , , , , , ,15, , ,28,9
53,45,Linea de Credito Malpractice,4.75,18,4.75, , , , , , ,15, , ,28,9
54,46,Linea de Credito Sist. Energia Renovable,3.95,18,3.95, , , , , , ,15, , ,28,9
55,48,Linea de Credito - Comercial Participacion,3.95,18,3.95, , , , , , ,15, , ,28,9
2100,2,Prestamo Personal - Acc. y Seg. Garantía,5.25,15,4.5, , , , , , ,1, , ,0,0
2100,3,Prestamo para Compra de Equipo Medico,5.25,15,4.5, , , , , , ,1, , ,0,0
2100,4,Prestamo Personal - Oferta de ingreso,5.25,15,4.5, , , , , , ,1, , ,0,0
2100,5,Prestamo Personal - Oferta de viajes,5.25,15,4.5, , , , , , ,1, , ,0,0
2100,6,Prestamo Personal - Cuota especial,5.25,15,4.5, , , , , , ,1, , ,0,0
2106,7,Prestamo Personal - Contribuciones,5.5,15,5.5, , , , , , ,1, , ,0,0
2107,8,Prestamo Personal - Sin Garantía,0,0,0, , , , , , ,1, , ,0,0
2108,9,Prestamo Personal - Poliza Propiedad,5.25,15,5.25, , , , , , ,1, , ,0,0
2109,10,Prestamo Personal - Matrícula,4.25,15,5.25, , , , , , ,1, , ,0,0
2110,10,Prestamo Personal - Medi-Resuelve T10,5,15,5, , , , , , ,1, , ,0,0
2110,11,Prestamo Personal - Medi-Resuelve,5,15,5, , , , , , ,1, , ,1,3
2110,12,Prestamo Personal - Medi-Resuelve T12,5,15,5, , , , , , ,1, , ,0,0
2112,13,Prestamo Personal - Ley 14,5.5,15,5.5, , , , , , ,1, , ,0,0
2112,14,Prestamo Personal - Ley 14,5.5,15,5.5, , , , , , ,1, , ,0,0
2115,39,Prestamo Personal - Oferta Residentes,4.5,15,4.25, , , , , , ,1, , ,0,0
