ID,ProfessionType,Descripción,Description,BSARanking
 ,3,ASOCIACIONES,ASOCIACIONES,M
 ,4,ADMINISTRADORES HOSPITALES,ADMINISTRADORES HOSPITALES,L
 ,5,CONYUGE DEL SOCIO BASE,CONYUGE DEL SOCIO BASE,M
 ,6,DENTISTA,DENTISTA,M
 ,7,EMPLEADOS MEDICOOP (SOCIOS BASE),EMPLEADOS MEDICOOP (SOCIOS BASE),H
 ,8,FARMACEUTICOS,FARMACEUTICOS,M
 ,9,PROGENITOR,PROGENITOR,M
 ,10,HIJO DEL SOCIO BASE,HIJO DEL SOCIO BASE,M
 ,11,AUDIOLOGOS,AUDIOLOGOS,M
 ,12,HIJO DE CRIANZA,HIJO DE CRIANZA,M
 ,14,PATOLOGOS,PATOLOGOS,L
 ,15,MEDICOS,MEDICOS,M
 ,16,TERAPISTAS,TERAPISTAS,M
 ,17,OPTOMETRAS,OPTOMETRAS,M
 ,18,PODIATRAS,PODIATRAS,M
 ,19,SOCIOS HACIENDO ESP. O SERV.,SOCIOS HACIENDO ESP. O SERV.,H
 ,20,SICOLOGOS,SICOLOGOS,M
 ,21,TECNOLOGOS MEDICOS,TECNOLOGOS MEDICOS,L
 ,22,TECNOLOGOS MED. NUCLEAR,TECNOLOGOS MED. NUCLEAR,M
 ,23,SOCIOS SIN VINCULO,SOCIOS SIN VINCULO,H
 ,24,SUCECIONES,SUCECIONES,H
 ,25,YERNOS,YERNOS,M
 ,26,NO DEFINIDO,NO DEFINIDO,H
 ,27,Abogado,Lawyer,H
 ,28,Actor / Actriz Dramático,Dramatic Actor /Actress,H
 ,29,Administrador,Administrator,L
 ,30,Administrador de Cementerios,Cementery Administrator,M
 ,31,Administrador de Edificios,Building Administrator,M
 ,32,Administrador de Escuelas,Schools Administrator,L
 ,33,Administrador de Instituciones Correccionales,Correctional Institution Administrator,M
 ,34,Administrador de Personal,Personal Administrator,M
 ,35,Administrador de Records Médicos,Medical Record Administrator,M
 ,36,Administrador de Seguridad,Security Administrator,L
 ,37,Administrador de Seguros de Salud,Health Insurance Administrator,M
 ,38,Agente de Rentas Internas,Internal Revenue Agent,L
 ,39,Agente de Seguros,Insurance Agent,M
 ,40,Agente de Estación de Tren,Train Station Agent,L
 ,41,Agente de Publicidad,Publicity Agent,M
 ,42,Agente de Viajes,Agent of Trips,L
 ,43,Agente Federal,Federal Agent,L
 ,44,Agricultor,Farmer,M
 ,45,Agrimensor,Surveyor,L
 ,46,Agronomo,Agronomist,M
 ,47,Albañil,Bricklayer,M
 ,48,Alcalde,Mayor,M
 ,49,Alguacil,US Marshal,L
 ,50,Ama de Casa,Housewife,L
 ,51,Ama de Llaves,Housekeeper,L
 ,52,Analista de Derechos Civiles,Civil Rights Analyst,M
 ,53,Analista de Presupuesto,Budged Analyst,L
 ,54,Analista de Sistemas,System Analyst,L
 ,55,Analista de Transporte Industrial,Transportation Ind. Analyst,M
 ,56,Analista Financiero,Financial Analyst,M
 ,57,Anestesiologo,Anesthesiologist,M
